N34,N47,N70,N73,N74,N83,N178,N208,N225,N248,N249,N264,N276,N289,N314,N320,N327,N337,N342,N349,N387,N388,N406,N458,N502,N522,N539,N556,N562,N563,N611,N614,N619,N629,N639,N676,N682,N688,N701,N702,N755,N778,N780,N785,N813,N817,N835,N860,N861,N886,N896,N898,N899,N900,N906
0.036,0.044,0.054000000000000006,0.1196,0.035,0.052000000000000005,0.05500000000000001,0.043,0.059,0.05700000000000001,0.049,0.092,0.05600000000000001,0.049,0.053000000000000005,0.18580000000000002,0.048,0.049,0.0894,0.051000000000000004,0.045,0.054000000000000006,0.07900000000000001,0.054000000000000006,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.045,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.086,0.05,0.029000000000000005,0.065,0.126,0.045,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.0498,0.05500000000000001
0.036,0.044,0.054000000000000006,0.227,0.151,0.052000000000000005,0.05500000000000001,0.043,0.059,0.05700000000000001,0.049,0.092,0.05600000000000001,0.049,0.053000000000000005,0.30100000000000005,0.048,0.049,0.23499999999999996,0.051000000000000004,0.045,0.054000000000000006,0.085,0.054000000000000006,0.05,0.034,0.051000000000000004,0.1648,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.045,0.161,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.2318,0.05,0.029000000000000005,0.11300000000000002,0.1814,0.045,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.5446,0.05500000000000001
0.036,0.044,0.054000000000000006,0.227,0.035,0.052000000000000005,0.05500000000000001,0.043,0.059,0.05700000000000001,0.049,0.15760000000000002,0.05600000000000001,0.049,0.053000000000000005,0.24699999999999997,0.048,0.049,0.23499999999999996,0.051000000000000004,0.045,0.054000000000000006,0.085,0.054000000000000006,0.191,0.034,0.051000000000000004,0.3944,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.045,0.161,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.389,0.05,0.029000000000000005,0.053000000000000005,0.22300000000000003,0.045,0.046,0.256,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.05500000000000001
0.036,0.044,0.054000000000000006,0.227,0.035,0.052000000000000005,0.05500000000000001,0.043,0.059,0.05700000000000001,0.049,1.4076000000000002,0.05600000000000001,0.049,0.053000000000000005,0.363,0.048,0.049,0.23499999999999996,0.051000000000000004,0.045,0.054000000000000006,0.153,0.054000000000000006,0.191,0.034,0.051000000000000004,0.382,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.05700000000000001,0.045,0.161,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.377,0.05,0.029000000000000005,0.053000000000000005,0.16699999999999998,0.045,0.046,0.256,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.05500000000000001
0.036,0.044,0.054000000000000006,0.227,0.035,0.052000000000000005,0.05500000000000001,0.043,0.1922,0.05700000000000001,0.049,0.2082,0.05600000000000001,0.049,0.087,0.383,0.048,0.049,0.26539999999999997,0.051000000000000004,0.045,0.054000000000000006,0.125,0.054000000000000006,0.191,0.034,0.051000000000000004,0.3534,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.1342,0.1182,0.11380000000000001,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.33940000000000003,0.05,0.029000000000000005,0.053000000000000005,0.199,0.045,0.046,0.256,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.05500000000000001
0.036,0.044,0.054000000000000006,0.231,0.035,0.052000000000000005,0.05500000000000001,0.077,0.281,0.05700000000000001,0.049,0.221,0.05600000000000001,0.049,0.223,0.483,0.048,0.049,0.2414,0.051000000000000004,0.045,0.054000000000000006,0.137,0.266,0.191,0.034,0.051000000000000004,0.346,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.25,0.22800000000000004,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.33140000000000003,0.05,0.029000000000000005,0.053000000000000005,0.159,0.045,0.046,0.256,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.10259999999999998
0.036,0.044,0.054000000000000006,0.231,0.23499999999999996,0.052000000000000005,0.05500000000000001,0.213,0.281,0.05700000000000001,0.049,0.5529999999999999,0.05600000000000001,0.049,0.223,0.45499999999999996,0.048,0.049,0.205,0.051000000000000004,0.045,0.054000000000000006,0.09300000000000001,0.266,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.25,0.22800000000000004,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.054000000000000006,0.05,0.029000000000000005,0.053000000000000005,0.27479999999999993,0.045,0.046,0.13480000000000003,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.048,0.174
0.036,0.044,0.054000000000000006,0.19440000000000002,0.23499999999999996,0.052000000000000005,0.05500000000000001,0.213,0.281,0.05700000000000001,0.049,0.57,0.05600000000000001,0.049,0.223,0.6612,0.048,0.049,0.205,0.14700000000000002,0.045,0.054000000000000006,0.085,0.22360000000000002,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.05600000000000001,0.13420000000000004,0.22800000000000004,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.054000000000000006,0.05,0.133,0.053000000000000005,0.352,0.045,0.046,0.054000000000000006,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.08220000000000001,0.174
0.036,0.16720000000000002,0.054000000000000006,0.0716,0.195,0.052000000000000005,0.05500000000000001,0.14500000000000002,0.2366,0.05700000000000001,0.049,0.5717999999999999,0.05600000000000001,0.049,0.223,0.754,0.101,0.049,0.1746,0.171,0.045,0.054000000000000006,0.085,0.077,0.05,0.034,0.051000000000000004,0.028000000000000004,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.1268,0.167,0.22800000000000004,0.043,0.05500000000000001,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.054000000000000006,0.05,0.133,0.053000000000000005,0.4295999999999999,0.045,0.046,0.09359999999999999,0.052000000000000005,0.053000000000000005,0.052000000000000005,0.047,0.219,0.174
0.0984,0.198,0.054000000000000006,0.166,0.035,0.052000000000000005,0.05500000000000001,0.043,0.059,0.05700000000000001,0.049,0.743,0.05600000000000001,0.049,0.087,0.729,0.133,0.049,0.053000000000000005,0.171,0.045,0.054000000000000006,0.085,0.169,0.05,0.034,0.09259999999999999,0.0708,0.054000000000000006,0.053000000000000005,0.053000000000000005,0.233,0.167,0.045,0.043,0.1262,0.045,0.052000000000000005,0.048,0.043,0.052000000000000005,0.054000000000000006,0.05,0.133,0.0858,0.3328,0.045,0.046,0.153,0.052000000000000005,0.053000000000000005,0.1936,0.047,0.219,0.0788
